IDROMETRI - Dati annuali e mensili;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TOLIGNANO DI MARINO;;;;;;;;;;;;;;;;;;;;
Dati annuali;;;;;;;;;Portata media mensile (m3/s);;;;;;;;;;;
Anno;Afflusso (mm);Deflusso (mm);Coefficiente di Deflusso (mm);Portata max al colmo (m3/s);Portata max giornaliera (m3/s);Portata Media Annua (m3/s);Portata Minima (m3/s);;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre
1926;1023;596;0.58;286;156;17.2;4.69;;23.5;20.5;20.6;23.1;20;13;22.7;8.07;5.63;5.67;7.93;35.4
1927;903;691;0.77;398;343;20;2.37;;36.8;15.3;32.4;30.7;30.2;12;5.17;3.93;3.34;4.72;8.1;55.5
1928;941;738;0.78;358;204;21.3;3.86;;23.7;21.9;31.2;59.5;50.4;17;7.93;6.59;6.41;7.2;10.8;12.9
1929;1104;762;0.69;1320;176;22;4.37;;19.4;14;38.1;61.1;40.8;15.9;6.77;11.6;5.75;6.72;26;18
1930;973;699;0.72;428;179;20.2;3.71;;27.1;26.3;50.4;36.8;31.9;17.7;6.95;4.96;7.17;4.75;9.26;19.3
1931;1055;777;0.74;587;314;22.5;3.46;;22.9;47.8;55.8;33.4;37.1;16;7.45;4.5;5.48;7.25;15.7;17.9
1932;817;468;0.57;231;174;13.5;3.01;;24.6;10.3;28.7;21;19.9;11.3;7.95;4.58;4.43;4.83;16.2;7.72
1933;1102;618;0.56;265;119;17.9;3.33;;9.69;27.1;27.4;22.4;24.2;21.5;7.65;7.09;5.82;6.41;23.8;32.3
1934;1124;881;0.78;316;184;25.4;3.6;;26.2;44.6;54.5;48.1;30.9;17.8;8.41;5.81;8.12;30.2;21.5;10.8
1935;862;501;0.58;267;144;14.5;2.8;;15.8;38.6;33.2;18.3;18.3;8.32;4.93;4.15;4.45;3.9;6.21;19.4
1936;1032;641;0.62;205;106;18.5;4.33;;14.5;36.2;36.1;31.3;32.4;20.9;7.92;5.13;6.86;10.3;13.1;7.96
1937;1259;733;0.58;342;245;21.2;4.13;;8.32;37.9;31.2;36;31.3;13.6;9.79;5.26;6.02;6.4;21.3;48.5
1938;952;553;0.58;154;101;16;4.44;;21.7;23.7;23.4;21.7;40.9;17.4;6.79;6.21;5.54;5.65;8.24;10.7
1939;1243;672;0.54;409;268;19.4;5.3;;13.7;14.1;16.5;41.6;37.9;44.3;9.03;7.35;7.59;8.39;17.6;15.4
1940;1309;793;0.61;410;266;22.8;4.23;;19.7;42;19.3;48.5;31.1;37.9;20.1;7.64;5.78;8.33;15.6;20
1941;1056;758;0.72;167;95.6;21.9;3.94;;34;40.4;35.5;35.6;34.7;19.2;9.51;6.22;6.36;8.18;20.6;14
1942;871;518;0.59;146;93.4;15;2.79;;11.1;20.1;42.4;27.6;23.1;12.4;6.74;4.89;5.09;6.9;5.88;13.6
1946;894;376;0.42;572;277;10.9;1.5;;9.6;6.98;10.1;10.4;9.88;5.26;2.89;2.5;2.54;5.39;49.4;15.8
1947;1017;551;0.54;146;97.1;15.9;3.01;;13.5;52.3;35.5;24;17;8.69;5.98;5.72;5.67;4.95;5.82;14.8
1948;904;498;0.55;229;186;14.4;3.16;;24.9;18.8;12.8;18.7;44.6;12.9;7.67;5.57;6.25;5.84;8.95;5.15
1949;1078;402;0.37;363;228;11.6;2.51;;5.09;6.25;13.8;13.4;12.6;10.7;6.12;3.86;4.13;15.8;31.4;16.2
1950;834;417;0.5;131;66.5;12.1;2.53;;14;18.4;16.5;25.3;20.7;9.22;6.02;5.04;5.55;4.75;6.41;13.3
1951;1236;704;0.57;241;130;20.3;3.93;;15.1;39.5;43.9;25;30.3;12.8;8.28;5.6;11.1;19.3;19;14.6
1952;1000;422;0.42;345;183;12.1;2.05;;19.3;22.4;17.2;16.9;9.13;4.9;5.25;3.07;5.83;3.82;5.7;32.5
1953;1024;605;0.59;354;192;17.5;5.42;;24.9;34.9;22.7;27.5;13.7;20.1;9.71;8.55;8.71;9.2;23.9;8.11
1954;1005;622;0.62;196;109;18;3.08;;15.1;24.9;31;34.7;37.1;20.4;8.13;5.61;4.38;6.23;15.1;13.7
1955;1269;641;0.51;366;188;18.5;1.11;;12.8;26.9;33.6;22.2;13.3;6.5;4.42;3.35;7.91;40.1;29.2;22.5
1956;901;518;0.57;134;67.1;14.9;1.01;;17.5;17.7;44.2;33.2;16.9;10.1;7.46;3.42;2.98;3.64;9.32;12.8
1957;998;531;0.53;281;206;15.3;1.33;;11.3;18.2;31.8;31.8;37.6;17.6;7.45;4.18;4.41;4.85;5.61;9.35
1958;1111;606;0.55;304;148;17.5;3.07;;15.7;11.6;32.5;43.7;27.6;12.2;8.91;6.49;4.97;5.35;20.3;20.5
1959;1222;684;0.56;1210;756;19.7;2.68;;19.1;17.3;18.7;71.1;14.1;9.98;5.6;7.24;7.88;6.55;16.2;43.7
1960;1167;671;0.57;308;117;19.3;2.5;;28.5;39.3;39.8;27.9;29.8;14.2;6.4;3.83;4.39;4.28;11.3;22.8
1961;979;427;0.44;338;90;12.3;1.92;;23.2;20.6;15.2;11.8;12.1;5.52;4.39;5.04;4.52;5.42;22.4;18.4
1962;1088;571;0.52;141;89.7;16.5;1.78;;20;31.2;41.9;30.9;18.9;7.76;4.03;3;2.76;5.03;12.2;21.3
1963;1437;907;0.63;382;244;26.2;4.12;;37.2;33.6;35.9;41;39.5;24;9.84;8.66;7.78;28.8;17.2;31.1
1970;920;405;0.44;81.2;44.5;11.7;2.38;;23.4;18.4;25.3;20.1;12.5;9.62;5.73;4.83;5.74;5.18;4.55;5.28
1971;907.1;314.2;0.35;;74.7;9.08;1.61;;10.7;9.36;14.4;28.7;10.6;6.99;5.05;4.16;4.42;3.81;5;6
1972;1124.3;421.9;0.38;;59.3;12.2;3.53;;14.2;12;16.4;18.5;15.7;7.95;5.84;7.17;8.78;11.1;14.2;14.1
1973;1081.3;570.1;0.53;;165;16.5;2.47;;28.4;22.4;28.3;51.9;21.6;8.09;7.43;6.09;6.11;6.22;5.68;6.22
1974;896.3;362.3;0.4;;217;10.5;1.36;;8.37;7.6;10.6;26;17.1;7.45;5.49;3.37;4.16;4.35;23.1;8.37
1975;802.9;210.7;0.26;;57.5;6.08;1.53;;6.43;22.9;12;7.66;6.73;3.09;3.11;2.24;2;2.18;2.68;3.37
1926;1023;596;0.58;286;156;17.2;4.69;;23.5;20.5;20.6;23.1;20;13;22.7;8.07;5.63;5.67;7.93;35.4
1927;903;691;0.77;398;343;20;2.37;;36.8;15.3;32.4;30.7;30.2;12;5.17;3.93;3.34;4.72;8.1;55.5
1928;941;738;0.78;358;204;21.3;3.86;;23.7;21.9;31.2;59.5;50.4;17;7.93;6.59;6.41;7.2;10.8;12.9
1929;1104;762;0.69;1320;176;22;4.37;;19.4;14;38.1;61.1;40.8;15.9;6.77;11.6;5.75;6.72;26;18
1930;973;699;0.72;428;179;20.2;3.71;;27.1;26.3;50.4;36.8;31.9;17.7;6.95;4.96;7.17;4.75;9.26;19.3
1931;1055;777;0.74;587;314;22.5;3.46;;22.9;47.8;55.8;33.4;37.1;16;7.45;4.5;5.48;7.25;15.7;17.9
1932;817;468;0.57;231;174;13.5;3.01;;24.6;10.3;28.7;21;19.9;11.3;7.95;4.58;4.43;4.83;16.2;7.72
1933;1102;618;0.56;265;119;17.9;3.33;;9.69;27.1;27.4;22.4;24.2;21.5;7.65;7.09;5.82;6.41;23.8;32.3
